date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:39:51	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2007%20Oct%202024%2022:39:52%20GMT	http://cpsac.com.pe/robots.txt		(from )
17:39:52	49485/49485	---M-Z	200	added ('OK')	text/html	etag:%224744c11-c14d-5e201de7f065b-gzip%22	http://cpsac.com.pe/	C:/My%20Web%20Sites/copiaSPSAC/cpsac.com.pe/index.html	(from )
17:39:52	122664/122664	---M-Z	200	added ('OK')	text/css	etag:%22474419b-1df28-5bbd12d34ecdb-gzip%22	http://cpsac.com.pe/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/copiaSPSAC/cpsac.com.pe/assets/css/bootstrap.min.css	(from http://cpsac.com.pe/)
17:39:53	3333/3333	---M-Z	200	added ('OK')	text/css	etag:%22474419d-d05-5bbd12d459e58-gzip%22	http://cpsac.com.pe/assets/css/owl.carousel.min.css	C:/My%20Web%20Sites/copiaSPSAC/cpsac.com.pe/assets/css/owl.carousel.min.css	(from http://cpsac.com.pe/)
17:39:53	68606/68606	---M-Z	200	added ('OK')	text/css	etag:%224744199-10bfe-5bbd12d234d14-gzip%22	http://cpsac.com.pe/assets/css/animate.css	C:/My%20Web%20Sites/copiaSPSAC/cpsac.com.pe/assets/css/animate.css	(from http://cpsac.com.pe/)
17:39:53	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%22474419c-7918-5bbd12d42855e-gzip%22	http://cpsac.com.pe/assets/css/font-awesome.min.css	C:/My%20Web%20Sites/copiaSPSAC/cpsac.com.pe/assets/css/font-awesome.min.css	(from http://cpsac.com.pe/)
17:39:53	9742/9742	---M-Z	200	added ('OK')	text/css	etag:%22474419e-260e-5bbd12d4c06fd-gzip%22	http://cpsac.com.pe/assets/css/pe-icon-7-stroke.css	C:/My%20Web%20Sites/copiaSPSAC/cpsac.com.pe/assets/css/pe-icon-7-stroke.css	(from http://cpsac.com.pe/)
17:39:54	27677/27677	---M-Z	200	added ('OK')	text/css	etag:%224744c18-6c1d-5ccb5acf0368f-gzip%22	http://cpsac.com.pe/style.css	C:/My%20Web%20Sites/copiaSPSAC/cpsac.com.pe/style.css	(from http://cpsac.com.pe/)
17:39:54	7055/7055	---M-Z	200	added ('OK')	text/css	etag:%22474419f-1b8f-5bbd12d4f00b8-gzip%22	http://cpsac.com.pe/assets/css/responsive.css	C:/My%20Web%20Sites/copiaSPSAC/cpsac.com.pe/assets/css/responsive.css	(from http://cpsac.com.pe/)
17:39:54	1359/1359	---M--	200	added ('OK')	image/png	etag:%2247441e8-54f-5bbd12faba7b1%22	http://cpsac.com.pe/assets/images/favicon.png	C:/My%20Web%20Sites/copiaSPSAC/cpsac.com.pe/assets/images/favicon.png	(from http://cpsac.com.pe/)
17:39:54	2258/2258	---M-Z	200	added ('OK')	text/css	etag:%2247a2361-8d2-5bbd12d10e9fe-gzip%22	http://cpsac.com.pe/popup/main.css	C:/My%20Web%20Sites/copiaSPSAC/cpsac.com.pe/popup/main.css	(from http://cpsac.com.pe/)
17:39:55	49485/49485	---M-Z	200	added ('OK')	text/html	etag:%224744c11-c14d-5e201de7f065b-gzip%22	http://cpsac.com.pe/index.html	C:/My%20Web%20Sites/copiaSPSAC/cpsac.com.pe/index-2.html	(from http://cpsac.com.pe/)
17:39:55	21261/21261	---M-Z	200	added ('OK')	text/html	etag:%224744c12-530d-5d1167ea81a9b-gzip%22	http://cpsac.com.pe/nosotros.html	C:/My%20Web%20Sites/copiaSPSAC/cpsac.com.pe/nosotros.html	(from http://cpsac.com.pe/)
17:39:55	27218/27218	---M-Z	200	added ('OK')	text/html	etag:%224744c17-6a52-5d1167e9628ce-gzip%22	http://cpsac.com.pe/servicios.html	C:/My%20Web%20Sites/copiaSPSAC/cpsac.com.pe/servicios.html	(from http://cpsac.com.pe/)
17:39:56	21497/21497	---M-Z	200	added ('OK')	text/html	etag:%224744c19-53f9-5d1167e8d2818-gzip%22	http://cpsac.com.pe/talleres.html	C:/My%20Web%20Sites/copiaSPSAC/cpsac.com.pe/talleres.html	(from http://cpsac.com.pe/)
17:39:56	48392/48392	---M-Z	200	added ('OK')	text/html	etag:%224744c15-bd08-5d1167e9be592-gzip%22	http://cpsac.com.pe/precios-lima.html	C:/My%20Web%20Sites/copiaSPSAC/cpsac.com.pe/precios-lima.html	(from http://cpsac.com.pe/)
17:39:57	40111/40111	---M-Z	200	added ('OK')	text/html	etag:%224744c14-9caf-5d1167e9f6bed-gzip%22	http://cpsac.com.pe/precios-huanuco.html	C:/My%20Web%20Sites/copiaSPSAC/cpsac.com.pe/precios-huanuco.html	(from http://cpsac.com.pe/)
17:39:57	27162/27162	---M--	200	added ('OK')	image/jpeg	etag:%224744202-6a1a-5bbd130931684%22	http://cpsac.com.pe/assets/images/logo-cpsac.jpg	C:/My%20Web%20Sites/copiaSPSAC/cpsac.com.pe/assets/images/logo-cpsac.jpg	(from http://cpsac.com.pe/)
17:39:57	18800/18800	---M-Z	200	added ('OK')	text/html	etag:%224744c0e-4970-5d1167eb180e2-gzip%22	http://cpsac.com.pe/cronograma.html	C:/My%20Web%20Sites/copiaSPSAC/cpsac.com.pe/cronograma.html	(from http://cpsac.com.pe/)
17:39:57	21872/21872	---M-Z	200	added ('OK')	text/html	etag:%224744c1a-5570-5d1167e8d4758-gzip%22	http://cpsac.com.pe/ubicanos.html	C:/My%20Web%20Sites/copiaSPSAC/cpsac.com.pe/ubicanos.html	(from http://cpsac.com.pe/)
17:39:57	20738/20738	---M-Z	200	added ('OK')	text/html	etag:%224744c13-5102-5d1167ea45d90-gzip%22	http://cpsac.com.pe/postula.html	C:/My%20Web%20Sites/copiaSPSAC/cpsac.com.pe/postula.html	(from http://cpsac.com.pe/)
